IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,DIM_SEX,DIM_DEG_URB,METRIC
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2002,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,17.85218
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2002,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.22507
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2012,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.57479
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2006,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.36704
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2006,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,19.83089
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2008,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.43727
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2022,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.9239
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2022,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,25.67268
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2016,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,24.77765
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2007,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.40223
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2017,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,25.27233
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2020,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,25.97333
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2004,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,18.84153
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2009,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.47169
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2000,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.15316
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2013,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.60954
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2018,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.78398
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2009,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,21.31492
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2019,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.81891
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2010,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.50595
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2015,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,24.28298
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2012,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,22.79895
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2014,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,23.7883
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2020,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.854
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2011,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.54037
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2014,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.64429
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2021,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.88895
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2008,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,20.82024
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2021,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,25.67268
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2011,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,22.30427
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2019,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,26.19341
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2016,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.71397
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2005,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,19.33621
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2005,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.33154
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2000,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,17.85218
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2001,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,17.85218
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2010,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,21.80959
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2013,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,23.29362
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2001,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.18927
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2017,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.74889
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2003,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.26071
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2015,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.67904
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2007,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,20.32556
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2018,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,25.76701
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2004,YEAR,682,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Saudi Arabia,TOTAL,TOTAL,79.29604
12EE54AWSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,12EE54A,WSH_SANITATION_SAFELY_MANAGED,2003,YEAR,422,COUNTRY,PUBLISHED,Population using safely managed sanitation services,Lebanon,TOTAL,TOTAL,18.34686